id|setid|long_ft|short_ft|row|col|block|dbh|year|site|name|nline|neline|eline|seline|sline|swline|wline|nwline|line_index|area_index|sname2|n_dbh|ne_dbh|e_dbh|se_dbh|s_dbh|sw_dbh|w_dbh|nw_dbh|sname3|dbh_count|cdbh_sum|cdbh_avg|dbh_ratio|sum_dbh_ratio1_sd|sum_dbh_ratio2_cd|ba_ratio|sum_ba_ratio|sdbh_x_avgcdbh
2|1|9|9|2|1|1|3.2|2013|U07m|17XGA04|0|0.0260496232966849|0.04968944099378881988|0.0377988317198079|0.04255319148936170213|0|0|0|0.156091087499643|0.001690358196141|17XGA04|0|9.4|6.8|6.4|8|0|0|0|17XGA04|4|0|0|0|9.56|1.71|0|0.00|0
3|1|9|9|3|1|1|8|2013|U07m|17XGA04|0.21739130434782608696|0.0846114330833227|0.12195121951219512195|0.173221039793823|0.18181818181818181818|0|0|0|0.778993178555348|0.0287550307360241|17XGA04|3.2|6.8|6.4|3|4|0|0|0|17XGA04|5|0|0|0|2.93|9.59|0|0.00|0
4|1|9|9|4|1|1|4|2013|U07m|17XGA5|0.05263157894736842105|0.0468062344053286|0.12903225806451612903|0.0377988317198079|0.07117437722419928826|0|0|0|0.33744328036122|0.00568180701882086|17XGA5|8|6.4|3|8|5.8|0|0|0|17XGA5|5|0|0|0|7.80|3.65|0|0.00|0
5|1|9|9|5|1|1|5.8|2013|U07m|82XAA04|0.13875598086124401914|0.131866834134367|0.07455012853470437018|0.070587491589907|0.11417322834645669291|0|0|0|0.529933663466679|0.0146546147149981|82XAA04|4|3|8|6|5|0|0|0|82XAA04|5|0|0|0|4.48|6.23|0|0.00|0
6|1|9|9|6|1|1|5|2013|U07m|82XAA04|0.08741258741258741259|0.0468062344053286|0.08474576271186440678|0.0485413330051083|0.06002400960384153661|0|0|0|0.32752992713873|0.0053334949703051|82XAA04|5.8|8|6|7.7|8.7|0|0|0|82XAA04|5|0|0|0|7.24|3.54|0|0.00|0
7|1|9|9|7|1|1|8.7|2013|U07m|82XAA04|0.16201117318435754190|0.102271686480207|0.11153846153846153846|0.12696794163931|1.00000000000000000000|0|0|0|1.50278926284234|0.0597880467189825|82XAA04|5|6|7.7|4.7|0|0|0|0|82XAA04|4|0|0|0|2.69|6.17|0|0.00|0
8|1|9|9|8|1|1|0|2013|U07m|82XAA04|0.00000000000000000000|0|0.00000000000000000000|0|0|0|0|0|0|0|82XAA04|8.7|7.7|4.7|4.4|0|0|0|0|82XAA04|4|0|0|0|0.00|0.00|0|0.00|0
9|1|9|9|9|1|1|0|2013|U07m|2XT4E04|0|0|0.00000000000000000000|0|0|0|0|0|0|0|2XT4E04|0|4.7|4.4|6|0|0|0|0|2XT4E04|3|0|0|0|0.00|0.00|0|0.00|0
10|1|9|9|10|1|1|0|2013|U07m|2XT4E04|0|0|0.00000000000000000000|0|0|0|0|0|0|0|2XT4E04|0|4.4|6|8.2|0|0|0|0|2XT4E04|3|0|0|0|0.00|0.00|0|0.00|0
11|1|9|9|11|1|1|0|2013|U07m|2XT4E04|0|0|0.00000000000000000000|0|0|0|0|0|0|0|2XT4E04|0|6|8.2|7.7|0|0|0|0|2XT4E04|3|0|0|0|0.00|0.00|0|0.00|0
12|1|9|9|12|1|1|0|2013|U07m|2XT4E04|0|0|0.00000000000000000000|0|0.00000000000000000000|0|0|0|0|0|2XT4E04|0|8.2|7.7|0|8.7|0|0|0|2XT4E04|3|0|0|0|0.00|0.00|0|0.00|0
13|1|9|9|13|1|1|8.7|2013|U07m|83XAA04|1.00000000000000000000|0.0815331991040636|1.00000000000000000000|0.110541362382347|0.08978328173374613003|0|0|0|2.28185784322016|0.100243886436898|83XAA04|0|7.7|0|5.5|9.8|0|0|0|83XAA04|3|0|0|0|2.64|3.60|0|0.00|0
14|1|9|9|14|1|1|9.8|2013|U07m|83XAA04|0.11123723041997729852|1|0.16526138279932546374|0.209800806222295|0.10381355932203389831|0|0|0|1.59011297876363|0.117715867854034|83XAA04|8.7|0|5.5|2.9|9.4|0|0|0|83XAA04|4|0|0|0|2.70|7.33|0|0.00|0
15|1|9|9|15|1|1|9.4|2013|U07m|83XAA04|0.09631147540983606557|0.118382584582369|0.26478873239436619718|1|0.10502793296089385475|0|0|0|1.58451072534747|0.145863628087825|83XAA04|9.8|5.5|2.9|0|8.9|0|0|0|83XAA04|4|0|0|0|2.88|6.97|0|0.00|0
16|1|9|9|16|1|1|8.9|2013|U07m|83XAA04|0.09518716577540106952|0.194276594169034|1.00000000000000000000|0.102842230414338|0.13567073170731707317|0|0|0|1.52797672206609|0.116518520727811|83XAA04|9.4|2.9|0|6.1|6.3|0|0|0|83XAA04|4|0|0|0|2.78|6.89|0|0.00|0
17|1|9|9|17|1|1|6.3|2013|U07m|81XAA04|0.07291666666666666667|1|0.10294117647058823529|0.0774005788022694|0.07000000000000000000|0|0|0|1.32325842193952|0.0669077131224585|81XAA04|8.9|0|6.1|5.9|9.3|0|0|0|81XAA04|4|0|0|0|4.79|3.49|0|0.00|0
18|1|9|9|18|1|1|9.3|2013|U07m|81XAA04|0.14090909090909090909|0.106969925009355|0.14903846153846153846|0.0783091094740746|0.11567164179104477612|0|0|0|0.590898228722027|0.018294577943433|81XAA04|6.3|6.1|5.9|8.6|7.9|0|0|0|81XAA04|5|0|0|0|3.74|6.84|0|0.00|0
19|1|9|9|19|1|1|7.9|2013|U07m|81XAA04|0.08624454148471615721|0.0951867550230131|0.09261430246189917937|0.0719992425739639|0.17995444191343963554|0|0|0|0.525999283457032|0.0129576384824561|81XAA04|9.3|5.9|8.6|8|4|0|0|0|81XAA04|5|0|0|0|4.53|6.07|0|0.00|0
